Assay_Type	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	analysis_type	collection_date	env_biome	env_feature	env_material	flowcell_barcode	geo_loc_name	gssr_id	host	host_age	host_disease	host_sex	host_subject_id	instrument_name	isolation_source	lane	lat_lon	library_type	lsid	product_order	project	read_group_id	run_barcode	run_name	work_request	AssemblyName	Consent	Organism
RNA-Seq	202	PRJNA218186	SAMN00002883		BI	sra	ncbi		SRX512303	235	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	SM-4SWF4	2014-04-07	966	630	ILLUMINA	2014-04-07	SRR1220551	SRS004496	SRP030662	PRJNA218187.11621.ST.21.1	AssemblyWithoutReference					C36KBACXX		473905.0				male		SL-HEF	missing	2		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:473905.0	PDO-2988	G53170	C36KB.2	C36KBACXX140123	140123_SL-HEF_0155_AFCC36KBACXX	40088		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00002883		BI	sra	ncbi		SRX512303	235	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	SM-4SWF4	2014-04-11	975	638	ILLUMINA	2014-04-11	SRR1232659	SRS004496	SRP030662	PRJNA218187.11621.ST.21.1	AssemblyWithoutReference					C36KBACXX		473905.0				male		SL-HEF	missing	4		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:473905.0	PDO-2988	G53170	C36KB.4	C36KBACXX140123	140123_SL-HEF_0155_AFCC36KBACXX	40088		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00002883		BI	sra	ncbi		SRX512303	235	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	SM-4SWF4	2014-04-12	961	627	ILLUMINA	2014-04-12	SRR1236494	SRS004496	SRP030662	PRJNA218187.11621.ST.21.1	AssemblyWithoutReference					C36KBACXX		473905.0				male		SL-HEF	missing	3		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:473905.0	PDO-2988	G53170	C36KB.3	C36KBACXX140123	140123_SL-HEF_0155_AFCC36KBACXX	40088		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00002883		BI	sra	ncbi		SRX512303	235	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	SM-4SWF4	2014-09-20	975	637	ILLUMINA	2014-09-20	SRR1582349	SRS004496	SRP030662	PRJNA218187.11621.ST.21.1	AssemblyWithoutReference					C36KBACXX		473905.0				male		SL-HEF	missing	1		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:473905.0	PDO-2988	G53170	C36KB.1	C36KBACXX140123	140123_SL-HEF_0155_AFCC36KBACXX	40088		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00002883		BI	sra	ncbi		SRX512303	235	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	SM-4SWF4	2014-09-21	947	617	ILLUMINA	2014-09-21	SRR1582412	SRS004496	SRP030662	PRJNA218187.11621.ST.21.1	AssemblyWithoutReference					C36KBACXX		473905.0				male		SL-HEF	missing	5		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:473905.0	PDO-2988	G53170	C36KB.5	C36KBACXX140123	140123_SL-HEF_0155_AFCC36KBACXX	40088		public	human gut metagenome
EST	36	PRJNA43253	SAMN00007486		CGS-GL	sra	sra-sos	sra-sos.public	SRX015725	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	TS28 cDNA	2014-05-26	165	113	ILLUMINA	2010-05-19	SRR035159	SRS009825	SRP001709	TS28_1																											public	human gut metagenome
EST	36	PRJNA43253	SAMN00007486		CGS-GL	sra	sra-sos	sra-sos.public	SRX015725	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	TS28 cDNA	2014-05-26	249	165	ILLUMINA	2010-05-19	SRR035160	SRS009825	SRP001709	TS28_1																											public	human gut metagenome
EST	36	PRJNA43253	SAMN00007486		CGS-GL	sra	sra-sos	sra-sos.public	SRX015725	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	TS28 cDNA	2014-05-26	114	46	ILLUMINA	2010-05-19	SRR035161	SRS009825	SRP001709	TS28_1																											public	human gut metagenome
EST	36	PRJNA43253	SAMN00007487		CGS-GL	sra	sra-sos	sra-sos.public	SRX015726	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	TS29 cDNA	2014-05-26	41	29	ILLUMINA	2010-05-19	SRR035162	SRS009826	SRP001709	TS29_1																											public	human gut metagenome
EST	36	PRJNA43253	SAMN00007487		CGS-GL	sra	sra-sos	sra-sos.public	SRX015726	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	TS29 cDNA	2014-05-26	122	78	ILLUMINA	2010-05-19	SRR035163	SRS009826	SRP001709	TS29_1																											public	human gut metagenome
EST	36	PRJNA43253	SAMN00007487		CGS-GL	sra	sra-sos	sra-sos.public	SRX015726	0	Illumina Genome Analyzer	SINGLE	cDNA	TRANSCRIPTOMIC	TS29 cDNA	2014-05-26	77	33	ILLUMINA	2010-05-19	SRR035164	SRS009826	SRP001709	TS29_1																											public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00103336		BI	sra	ncbi		SRX399681	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	10552_st_11_1	2013-12-27	203	137	ILLUMINA	2013-12-27	SRR1061596	SRS010192	SRP030662	PRJNA218187.10552_st_11_1	AssemblyWithoutReference					D2BDVACXX		374293.0						SL-HAU	missing	1		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374293.0	PDO-1813	G39506	D2BDV.1	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00103336		BI	sra	ncbi		SRX399681	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	10552_st_11_1	2013-12-27	203	136	ILLUMINA	2013-12-27	SRR1061635	SRS010192	SRP030662	PRJNA218187.10552_st_11_1	AssemblyWithoutReference					D2BDVACXX		374293.0						SL-HAU	missing	6		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374293.0	PDO-1813	G39506	D2BDV.6	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00103336		BI	sra	ncbi		SRX399681	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	10552_st_11_1	2013-12-27	202	137	ILLUMINA	2013-12-27	SRR1061649	SRS010192	SRP030662	PRJNA218187.10552_st_11_1	AssemblyWithoutReference					D2BDVACXX		374293.0						SL-HAU	missing	2		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374293.0	PDO-1813	G39506	D2BDV.2	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00103336		BI	sra	ncbi		SRX399681	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	10552_st_11_1	2013-12-27	202	136	ILLUMINA	2013-12-27	SRR1061828	SRS010192	SRP030662	PRJNA218187.10552_st_11_1	AssemblyWithoutReference					D2BDVACXX		374293.0						SL-HAU	missing	7		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374293.0	PDO-1813	G39506	D2BDV.7	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00103336		BI	sra	ncbi		SRX399681	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	10552_st_11_1	2013-12-27	199	135	ILLUMINA	2013-12-27	SRR1062015	SRS010192	SRP030662	PRJNA218187.10552_st_11_1	AssemblyWithoutReference					D2BDVACXX		374293.0						SL-HAU	missing	8		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374293.0	PDO-1813	G39506	D2BDV.8	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00103336		BI	sra	ncbi		SRX399681	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	10552_st_11_1	2013-12-27	202	135	ILLUMINA	2013-12-27	SRR1062118	SRS010192	SRP030662	PRJNA218187.10552_st_11_1	AssemblyWithoutReference					D2BDVACXX		374293.0						SL-HAU	missing	4		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374293.0	PDO-1813	G39506	D2BDV.4	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00103336		BI	sra	ncbi		SRX399681	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	10552_st_11_1	2013-12-27	202	137	ILLUMINA	2013-12-27	SRR1062132	SRS010192	SRP030662	PRJNA218187.10552_st_11_1	AssemblyWithoutReference					D2BDVACXX		374293.0						SL-HAU	missing	3		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374293.0	PDO-1813	G39506	D2BDV.3	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
RNA-Seq	202	PRJNA218186	SAMN00103336		BI	sra	ncbi		SRX399681	200	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	10552_st_11_1	2013-12-27	201	135	ILLUMINA	2013-12-27	SRR1062195	SRS010192	SRP030662	PRJNA218187.10552_st_11_1	AssemblyWithoutReference					D2BDVACXX		374293.0						SL-HAU	missing	5		cDNAShotgunReadTwoSense	BROAD:SEQUENCING_SAMPLE:374293.0	PDO-1813	G39506	D2BDV.5	D2BDVACXX130819	130819_SL-HAU_0465_BFCD2BDVACXX	37623		public	human gut metagenome
FL-cDNA	50	PRJEB2389	SAMN00009845		SHWFGF	sra	sra-sos	sra-sos.public	ERX009687	0	Illumina Genome Analyzer II	SINGLE	RT-PCR	VIRAL RNA	FMDV1	2014-05-29	82	76	ILLUMINA	2011-03-18	ERR024706	SRS024887	ERP000476	unidentified																											public	human gut metagenome
FL-cDNA	70	PRJEB2390	SAMN00009845		SHWFGF	sra	sra-sos	sra-sos.public	ERX009688	0	Illumina Genome Analyzer II	SINGLE	RT-PCR	VIRAL RNA	FMDV1	2014-05-29	252	147	ILLUMINA	2011-03-18	ERR024707	SRS024887	ERP000477	unidentified																											public	human gut metagenome
RNA-Seq	144	PRJNA62005	SAMN00009845		BI	sra	sra-sos	sra-sos.public	SRX042048	401	Illumina Genome Analyzer II	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-34577	2014-05-30	147	67	ILLUMINA	2011-02-11	SRR100050	SRS024887	SRP005692	unidentified	cDNA					61PH5AAXX								SL-XDX		7					G5480		61PH5AAXX100726	100726_SL-XDX_00013_FC61PH5AAXX	22448		public	human gut metagenome
RNA-Seq	144	PRJNA62005	SAMN00009845		BI	sra	sra-sos	sra-sos.public	SRX042048	401	Illumina Genome Analyzer II	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-34577	2014-05-30	146	67	ILLUMINA	2011-02-11	SRR100061	SRS024887	SRP005692	unidentified	cDNA					61PH5AAXX								SL-XDX		6					G5480		61PH5AAXX100726	100726_SL-XDX_00013_FC61PH5AAXX	22448		public	human gut metagenome
FL-cDNA	50	PRJEB2389	SAMN00009845		SHWFGF	sra	ncbi		ERX009687	0	Illumina Genome Analyzer II	SINGLE	RT-PCR	VIRAL RNA	FMDV1	2014-05-30	131	121	ILLUMINA	2011-04-28	ERR034192	SRS024887	ERP000476	unidentified																											public	human gut metagenome
FL-cDNA	50	PRJEB2389	SAMN00009845		SHWFGF	sra	ncbi		ERX009687	0	Illumina Genome Analyzer II	SINGLE	RT-PCR	VIRAL RNA	FMDV1	2014-05-30	100	93	ILLUMINA	2011-04-28	ERR034193	SRS024887	ERP000476	unidentified																											public	human gut metagenome
FL-cDNA	70	PRJEB2390	SAMN00009845		SHWFGF	sra	ncbi		ERX009688	0	Illumina Genome Analyzer II	SINGLE	RT-PCR	VIRAL RNA	FMDV1	2014-05-30	169	98	ILLUMINA	2011-04-28	ERR034196	SRS024887	ERP000477	unidentified																											public	human gut metagenome
FL-cDNA	70	PRJEB2390	SAMN00009845		SHWFGF	sra	ncbi		ERX009688	0	Illumina Genome Analyzer II	SINGLE	RT-PCR	VIRAL RNA	FMDV1	2014-05-30	232	135	ILLUMINA	2011-04-28	ERR034197	SRS024887	ERP000477	unidentified																											public	human gut metagenome
RNA-Seq	210	PRJNA72437	SAMN00009845		BI	sra	sra-sos	sra-sos.public	SRX092463	220	Illumina HiSeq 2000	PAIRED	RANDOM	TRANSCRIPTOMIC	Solexa-67743	2014-05-31	2242	1394	ILLUMINA	2011-08-22	SRR332287	SRS024887	SRP008152	unidentified						B02H8ACXX								SL-HAC		5							B02H8ACXX110804	110804_SL-HAC_0370_BFCB02H8ACXX	25849		public	human gut metagenome
RNA-Seq	210	PRJNA72439	SAMN00009845		BI	sra	sra-sos	sra-sos.public	SRX004365	542	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-69042	2014-05-31	1161	621	ILLUMINA	2011-08-30	SRR340090	SRS024887	SRP007996	unidentified	Resequencing					B0228ACXX								SL-HAQ		5		cDNAShotgunReadTwoSense					B0228ACXX110817	110817_SL-HAQ_0155_AFCB0228ACXX	25946		public	human gut metagenome
RNA-Seq	210	PRJNA72979	SAMN00009845		BI	sra	ncbi		SRX103194	559	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-68447	2012-01-21	1152	637	ILLUMINA	2011-10-26	SRR358568	SRS024887	SRP006291	unidentified						B0228ACXX								SL-HAQ		8							B0228ACXX110817	110817_SL-HAQ_0155_AFCB0228ACXX	25947		public	human gut metagenome
RNA-Seq	210	PRJNA77701	SAMN00009845		BI	sra	sra-sos	sra-sos.public	SRX109684	450	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-65632&Solexa-66918	2012-01-21	967	543	ILLUMINA	2011-11-30	SRR385812	SRS024887	SRP009481	unidentified	Resequencing					D03U4ACXX								SL-HBN		1		cDNAShotgunReadTwoSense			G13352		D03U4ACXX110626	110626_SL-HBN_0115_BFCD03U4ACXX	25410		public	human gut metagenome
RNA-Seq	210	PRJNA77701	SAMN00009845		BI	sra	ncbi		SRX109684	450	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-65632&Solexa-66918	2012-01-21	1322	649	ILLUMINA	2011-11-30	SRR385813	SRS024887	SRP009481	unidentified	Resequencing					D03U4ACXX								SL-HBN		3		cDNAShotgunReadTwoSense			G13352		D03U4ACXX110626	110626_SL-HBN_0115_BFCD03U4ACXX	25410		public	human gut metagenome
RNA-Seq	210	PRJNA77701	SAMN00009845		BI	sra	ncbi		SRX109684	450	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-65632&Solexa-66918	2012-01-21	992	514	ILLUMINA	2011-11-30	SRR385814	SRS024887	SRP009481	unidentified	Resequencing					D03U4ACXX								SL-HBN		2		cDNAShotgunReadTwoSense			G13352		D03U4ACXX110626	110626_SL-HBN_0115_BFCD03U4ACXX	25410		public	human gut metagenome
RNA-Seq	210	PRJNA77747	SAMN00009845		BI	sra	sra-sos	sra-sos.public	SRX109688	450	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Ross Swofford_Nb_mR3_testis_611	2012-01-21	1698	950	ILLUMINA	2011-11-30	SRR385864	SRS024887	SRP009484	unidentified						B0228ACXX								SL-HAQ		3					G14486		B0228ACXX110817	110817_SL-HAQ_0155_AFCB0228ACXX	26130		public	human gut metagenome
RNA-Seq	210	PRJNA77747	SAMN00009845		BI	sra	sra-sos	sra-sos.public	SRX109688	450	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Ross Swofford_Nb_mR3_testis_611	2012-01-21	1631	910	ILLUMINA	2011-11-30	SRR385874	SRS024887	SRP009484	unidentified						B0228ACXX								SL-HAQ		2					G14486		B0228ACXX110817	110817_SL-HAQ_0155_AFCB0228ACXX	26130		public	human gut metagenome
RNA-Seq	210	PRJNA77743	SAMN00009845		BI	sra	sra-sos	sra-sos.public	SRX110237	520	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-67742	2012-01-21	1588	892	ILLUMINA	2011-12-03	SRR387535	SRS024887	SRP009483	unidentified						B02H8ACXX								SL-HAC		3					G14318		B02H8ACXX110804	110804_SL-HAC_0370_BFCB02H8ACXX	25851		public	human gut metagenome
RNA-Seq	210	PRJNA77743	SAMN00009845		BI	sra	sra-sos	sra-sos.public	SRX110237	520	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-67742	2012-01-21	1970	1096	ILLUMINA	2011-12-03	SRR387538	SRS024887	SRP009483	unidentified						B02H8ACXX								SL-HAC		1					G14318		B02H8ACXX110804	110804_SL-HAC_0370_BFCB02H8ACXX	25851		public	human gut metagenome
RNA-Seq	210	PRJNA77743	SAMN00009845		BI	sra	sra-sos	sra-sos.public	SRX110237	520	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-67742	2012-01-21	1869	1053	ILLUMINA	2011-12-03	SRR387539	SRS024887	SRP009483	unidentified						B02H8ACXX								SL-HAC		2					G14318		B02H8ACXX110804	110804_SL-HAC_0370_BFCB02H8ACXX	25851		public	human gut metagenome
RNA-Seq	207	PRJNA78317	SAMN00009845		BI	sra	sra-sos	sra-sos.public	SRX110721	650	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-51586	2012-01-21	539	189	ILLUMINA	2011-12-08	SRR388276	SRS024887	SRP009667	unidentified						809TMABXX								SL-HBE		7					G9952		809TMABXX110110	110110_SL-HBE_0080_AFC809TMABXX	24507		public	human gut metagenome
RNA-Seq	207	PRJNA78317	SAMN00009845		BI	sra	sra-sos	sra-sos.public	SRX110721	650	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-51586	2012-01-21	500	193	ILLUMINA	2011-12-08	SRR388277	SRS024887	SRP009667	unidentified						809TMABXX								SL-HBE		2					G9952		809TMABXX110110	110110_SL-HBE_0080_AFC809TMABXX	24507		public	human gut metagenome
RNA-Seq	208	PRJNA78317	SAMN00009845		BI	sra	sra-sos	sra-sos.public	SRX110722	650	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-51586	2012-01-21	780	286	ILLUMINA	2011-12-08	SRR388278	SRS024887	SRP009667	unidentified						809RGABXX								SL-HBF		1					G9952		809RGABXX110126	110126_SL-HBF_0121_AFC809RGABXX	24507		public	human gut metagenome
RNA-Seq	208	PRJNA78317	SAMN00009845		BI	sra	sra-sos	sra-sos.public	SRX110722	650	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-51586	2012-01-21	700	259	ILLUMINA	2011-12-08	SRR388279	SRS024887	SRP009667	unidentified						809RGABXX								SL-HBF		3					G9952		809RGABXX110126	110126_SL-HBF_0121_AFC809RGABXX	24507		public	human gut metagenome
RNA-Seq	207	PRJNA78317	SAMN00009845		BI	sra	sra-sos	sra-sos.public	SRX110721	650	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Solexa-51586	2012-01-21	641	219	ILLUMINA	2011-12-08	SRR388280	SRS024887	SRP009667	unidentified						809TMABXX								SL-HBE		5					G9952		809TMABXX110110	110110_SL-HBE_0080_AFC809TMABXX	24507		public	human gut metagenome
